卫视分类,#genre#
东森新闻,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv152
民视新闻,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=litv-ftv13
民视,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv155
台视新闻,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv051
民视,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv002
三立新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
民视台湾台,https://345iptv.com/?act=play&token=46fc090f8a6e63b6aaace480ff3c6333&tid=gt&id=67&p=0###WEB\\n
东森美洲,http://38.64.72.148/hls/modn/list/2015/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8?
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/playlist.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8?
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8?blog.ntnas.top
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
东森美洲,http://38.64.72.148/hls/modn/list/2016/chunklist0.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2016/chunklist1.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/playlist.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8?blog.ntnas.top
东森电影,https://smart.pendy.dpdns.org/Smart.php?id=ettvmovie
东森综合,https://smart.pendy.dpdns.org/Smart.php?id=ettvzhonghe
三立新闻,https://epg.pw/stream/6b49e3faa38adda85abab446f032dc1e686baa0760a9cfa66e2df8fd6fe3b445.m3u8
民视,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv002
台视新闻,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv051
东森新闻,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv152
民视新闻,http://xtvantsc.xyz/litv_ts.php?id=litv-ftv13
民视,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv155
民视,http://220.132.15.209:5008/4gtv-4gtv155/index.m3u8
台视新闻,http://220.132.15.209:5008/li-4gtv-4gtv051/index.m3u8
东森新闻,http://220.132.15.209:5008/li-4gtv-4gtv152/index.m3u8
民视新闻,http://220.132.15.209:5008/li-litv-ftv13/index.m3u8
三立综合,http://220.132.15.209:5008/4gtv-live207/index.m3u8
三立新闻,http://220.132.15.209:5008/4gtv-live089/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
东森新闻,http://220.132.15.209:5008/4gtv-4gtv152/index.m3u8
民视新闻,http://220.132.15.209:5008/litv-ftv13/index.m3u8
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=217&time=20240926215313&ip=111.229.253.40
民视,http://220.132.15.209:5008/4gtv-4gtv002/index.m3u8
台视新闻,http://222.128.55.152:9080/live/ts.m3u8
东森电影,https://cdn.iptv8k.top/dl/jrys.php?id=231&time=20240926215313&ip=111.229.253.40
东森综合,https://cdn.iptv8k.top/dl/jrys.php?id=221&time=20240926215313&ip=111.229.253.40
台视新闻,http://220.132.15.209:5008/4gtv-4gtv051/index.m3u8
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=216&time=20240926215313&ip=111.229.253.40
民视新闻,http://stream-ali1.csslcloud.net/live/5CkUiYhpTaUWibfd2yVPulg2rBioJ6XgbbmxF2hWNQyygV2U12.flv
台视新闻,http://stream-ali1.csslcloud.net/live/ofFqVir8hEYxZDb6y677FJxn0xrbfd2yPfOT6XuHngNXajvBUY.flv
东森综合,https://cdn.iptv8k.top/dl/jrys.php?id=220&time=20240926215313&ip=111.229.253.40
