gaoma分类,#genre#
CCTV-7,http://112.81.218.254:35455/gaoma/cctv7.m3u8
CCTV1,http://112.81.218.254:35455/gaoma/cctv1.m3u8
体育赛事,http://3501776.xyz:35455/gaoma/cctv5p.m3u8
CCTV-14,http://3501776.xyz:35455/gaoma/cctv14.m3u8
CCTV4,http://218.93.208.172:35455/migu/631780421.m3u8?migutoken=c7f507bbd9cce24c2acdc93defad48a900f168c4ca906d6038ab0f6139f63ebe0ddaadfce8581b4e0014595c5d9de27f08f2398874e7990b2f98bca8c5e37775005a38dfdd40f4ea9bbfa10d23
CCTV5,http://112.81.218.254:35455/gaoma/cctv5.m3u8
CCTV-1,http://3501776.xyz:35455/gaoma/cctv1.m3u8
CCTV1,http://218.93.208.172:35455/migu/608807420.m3u8?migutoken=c1e47192e21ebd32f0cc762a6749923a27468f3c407786209ce921f54a3faab96bf61281f3baee22f2ea266b1ec7e46d7bdfab0916f461bf38474fe38d0bdb2dcc56ee56853b8d6c509d866d80
CCTV10,http://112.81.218.254:35455/gaoma/cctv10.m3u8
CCTV8,http://3501776.xyz:35455/gaoma/cctv8.m3u8
CCTV2,http://3501776.xyz:35455/gaoma/cctv2.m3u8
CCTV5,http://218.93.208.172:35455/migu/641886683.m3u8?migutoken=87d52e3d24e7d2e911e3dfd7ea18495fc128afee9e8b63e2945bdf50bb2105992d65245e2b914f41bb1b7218c76012d8e20573dfc0ca6ff336e3ba39c0a26c95030a5f99b9264b0583d92caea8
CCTV4,http://112.81.218.254:35455/gaoma/cctv4.m3u8
CCTV2,http://218.93.208.172:35455/migu/631780532.m3u8?migutoken=f37996961dda807c76bd64f9a2747f07f7fd95917e411e96a40281fd628bc4000eb7f71344d3bca848bfba138c3988d53652cdbc6fc8225515f1c0e1ea6c8920e7d1e957628a334e765280cc07
CCTV3,http://218.93.208.172:35455/migu/624878271.m3u8?migutoken=fc4d3188808753792a59fb9fb632ad0e1d099d6828db8758f8c977a28dc480e969bef66e8cd942d53ce07a039791c90b959a0f75df560f5966e3f5ed7c8cf5bbb0fac0f4394f21d52636ca79cb
CCTV5+,http://lt.hxtre.com:35455/gaoma/cctv5p.m3u8
CCTV14,http://112.81.218.254:35455/gaoma/cctv14.m3u8
CCTV8,http://112.81.218.254:35455/gaoma/cctv8.m3u8
CCTV2,http://lt.hxtre.com:35455/gaoma/cctv2.m3u8
CCTV-5+,http://112.81.218.254:35455/gaoma/cctv5p.m3u8
浙江卫视,http://lt.hxtre.com:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
广东卫视,http://mvfn.zhch1968.com:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
河南卫视,http://www.xzbn.site:35455/itv/1000000002000027731.m3u8?cdn=ystenlive
CCTV16,http://lt.hxtre.com:35455/gaoma/cctv16.m3u8
北京卫视,http://lt.hxtre.com:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
CCTV9,http://112.81.218.254:35455/gaoma/cctv9.m3u8
CCTV2,http://lt.hxtre.com:35455/itv/1000000001000012442.m3u8?cdn=ystenlive
安多卫视,http://3501776.xyz:35455/itv/1000000005000266001.m3u8?cdn=ystenlive
山西卫视,http://www.xzbn.site:35455/itv/1000000002000021220.m3u8?cdn=ystenlive
CCTV7,http://home.kuaidi521.com:35455/gaoma/cctv7.m3u8
CCTV2,http://112.81.218.254:35455/gaoma/cctv2.m3u8
天津卫视,http://www.xzbn.site:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
重庆卫视,http://lt.hxtre.com:35455/itv/1000000002000018937.m3u8?cdn=ystenlive
CCTV12,http://3501776.xyz:35455/gaoma/cctv12.m3u8
四川卫视,http://3501776.xyz:35455/itv/5000000004000006119.m3u8?cdn=bestzb
CCTV12,http://112.81.218.254:35455/gaoma/cctv12.m3u8
