CCTV&migu分类,#genre#
CCTV-4欧洲,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=265667313&sign=ce844107d95e543637a91c04334af385
CCTV-4美洲,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=265667335&sign=ce844107d95e543637a91c04334af385
CCTV15音乐,https://tv.iill.top/migu/cctv15
CCTV2财经,https://tv.iill.top/migu/cctv2
CCTV5体育,https://tv.iill.top/migu/cctv5
CCTV5+体育赛事,https://tv.iill.top/migu/cctv5p
CCTV1综合,https://tv.iill.top/migu/cctv1
CCTV12社会与法,https://tv.iill.top/migu/cctv12
CCTV11戏曲,https://tv.iill.top/migu/cctv11
CCTV14少儿,https://tv.iill.top/migu/cctv14
CCTV4中文国际,https://tv.iill.top/migu/cctv4
CCTV4中文国际·美洲,https://tv.iill.top/migu/cctv4m
CCTV4中文国际·欧洲,https://tv.iill.top/migu/cctv4o
CCTV8电视剧,https://tv.iill.top/migu/cctv8
CCTV10科教,https://tv.iill.top/migu/cctv10
CCTV9纪录,https://tv.iill.top/migu/cctv9
CCTV17农村农业,https://tv.iill.top/migu/cctv17
CCTV3综艺,https://tv.iill.top/migu/cctv3
CCTV13新闻,https://tv.iill.top/migu/cctv13
CCTV7国防军事,https://tv.iill.top/migu/cctv7
