migu分类,#genre#
CHC家庭影院,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=265667645&sign=7e8384813492bcb23ed3daa4c7556e13
吉林卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=531262154&sign=7e8384813492bcb23ed3daa4c7556e13
东方卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=264104266&sign=7e8384813492bcb23ed3daa4c7556e13
江西卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=810783159&sign=7e8384813492bcb23ed3daa4c7556e13
青海卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=531262027&sign=7e8384813492bcb23ed3daa4c7556e13
海南卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=531262161&sign=7e8384813492bcb23ed3daa4c7556e13
CCTV-4欧洲,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=265667313&sign=7e8384813492bcb23ed3daa4c7556e13
江苏卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=264104188&sign=7e8384813492bcb23ed3daa4c7556e13
广东卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=263541274&sign=7e8384813492bcb23ed3daa4c7556e13
CCTV-4美洲,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=265667335&sign=7e8384813492bcb23ed3daa4c7556e13
CCTV12社会与法,https://tv.iill.top/migu/cctv12
海峡卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/haixiaws/57/20230724/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
湖北卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=531261978&sign=7e8384813492bcb23ed3daa4c7556e13
江苏卫视,https://tv.iill.top/migu/jsws
CCTV1综合,https://tv.iill.top/migu/cctv1
CCTV2财经,https://tv.iill.top/migu/cctv2
CCTV11戏曲,https://tv.iill.top/migu/cctv11
陕西卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/shan3xiws/57/20220809/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
东方卫视,https://tv.iill.top/migu/dfws
CHC动作电影,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=265218967&sign=7e8384813492bcb23ed3daa4c7556e13
CCTV14少儿,https://tv.iill.top/migu/cctv14
CCTV15音乐,https://tv.iill.top/migu/cctv15
CCTV5+体育赛事,https://tv.iill.top/migu/cctv5p
CCTV5体育,https://tv.iill.top/migu/cctv5
CCTV17农村农业,https://tv.iill.top/migu/cctv17
CCTV3综艺,https://tv.iill.top/migu/cctv3
CCTV13新闻,https://tv.iill.top/migu/cctv13
CCTV4中文国际,https://tv.iill.top/migu/cctv4
CCTV4中文国际·美洲,https://tv.iill.top/migu/cctv4m
CCTV9纪录,https://tv.iill.top/migu/cctv9
CCTV7国防军事,https://tv.iill.top/migu/cctv7
CCTV10科教,https://tv.iill.top/migu/cctv10
CCTV4中文国际·欧洲,https://tv.iill.top/migu/cctv4o
CCTV8电视剧,https://tv.iill.top/migu/cctv8
CCTV6电影,https://tv.iill.top/migu/cctv6
